name,salary,lat,lon,x_axis,y_axis
송파 장지 서울복합물류,12691.6666666667,37.4741668701172,127.123878479004,322703,541697
송파 장지 서울복합물류,12691.6666666667,37.4741668701172,127.123878479004,322703,541697
송파 장지 서울복합물류,12691.6666666667,37.4741668701172,127.123878479004,322703,541697
레고코리아,10000,0,0,0,0
굿프랜드로지스틱스,9090.90909090909,37.4362487792969,127.169174194336,326672,537452
쿠팡풀필먼트서비스 - 직영C팀,8062.22222222222,37.3136825561523,127.343215942383,341979,523729
주식회사 서우컴퍼니,10000,36.832405090332,127.147972106934,324195,470459
쿠팡풀필먼트서비스 - 직영C팀,8062.22222222222,37.3136825561523,127.343215942383,341979,523729
쿠팡풀필먼트서비스 - 직영C팀,8062.22222222222,37.3136825561523,127.343215942383,341979,523729
[급구] 초보/단순물류업무/오전/오후/투잡/,,37.1399230957031,127.067443847656,317345,504651
바로고/역삼지사,,37.5136642456055,127.041633605957,315473,546151
㈜파란잡탬프,,37.4059982299805,126.683624267578,283656,534584
쿠팡풀필먼트서비스 - 직영C팀,8062.22222222222,37.3136825561523,127.343215942383,341979,523729
쿠팡풀필먼트서비스 - 직영C팀,8062.22222222222,37.3136825561523,127.343215942383,341979,523729
"[초보][급구] 평택E팀/단기알바,포장,진열,",,36.9505348205566,126.854698181152,298191,483841
아우라,35000,,,,
애플트리(단기알바/정말 쉬운작업/초보환영,10000,37.6379356384277,127.311912536621,339468,559733
애플트리(단기알바/정말 쉬운작업/초보환영,10000,37.6379356384277,127.311912536621,339468,559733
"㈜퍼스트인로직스 / 장단기가능,단순지게차",10234.5555555556,36.9505348205566,126.854698181152,298191,483841
경마공원]12월15일[일]세척/주방보조/8500원,8500,37.4478645324707,127.01676940918,313199,538871
#야간#익일지급#초보자환영#,,37.0161476135254,127.248313903809,333306,490773
평일/주말/하루가능/장지역부근,10000,37.4741668701172,127.123878479004,322703,541697
평일/주말 365일 선택알바,10000,37.6376609802246,127.311996459961,339475,559703
자바리쿠르트,9090.90909090909,37.3681983947754,126.944702148438,306723,530099
자바리쿠르트,9090.90909090909,37.3681983947754,126.944702148438,306723,530099
"쿠팡헬퍼-장,단기알바/굿윌아이엔씨㈜",10202.3076923077,37.410343170166,126.826889038086,296346,534900
"쿠팡헬퍼-장,단기알바/굿윌아이엔씨㈜",10202.3076923077,37.410270690918,126.826759338379,296334,534892
자바리쿠르트,9090.90909090909,37.3681983947754,126.944702148438,306723,530099
"쿠팡헬퍼-장,단기알바/굿윌아이엔씨㈜",9000,37.4103775024414,126.826461791992,296308,534904
"쿠팡헬퍼-장,단기알바/굿윌아이엔씨㈜",9000,37.4103775024414,126.826461791992,296308,534904
주식회사 태원로지스,13954.5454545455,37.2351608276367,127.502410888672,356045,514929
주식회사 태원로지스,13954.5454545455,37.2351608276367,127.502410888672,356045,514929
주식회사 태원로지스,13954.5454545455,37.2351608276367,127.502410888672,356045,514929
주식회사 태원로지스,13954.5454545455,37.2351608276367,127.502410888672,356045,514929
안성쿠팡 E팀 [초보] 익일지급/평일/아르바,,36.9526824951172,127.194297790527,328439,483769
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,7422.22222222222,37.172233581543,127.126258850098,322604,508187
애플트리(단기알바/정말 쉬운작업/초보환영,10000,37.474365234375,127.122413635254,322574,541720
㈜에이치비컴퍼니,8500,37.3932075500488,126.971252441406,309105,532848
와이씨컴퍼니(직영5팀),8350,36.2521781921387,127.623764038086,366383,405804
와이씨컴퍼니(직영5팀),8350,36.2521781921387,127.623764038086,366383,405804
