name,lat,lon,x좌표,y좌표
국비무료/지원교육,37.574878692627,127.025482177734,314116,552959
국비무료/지원교육,37.574878692627,127.025482177734,314116,552959
[국비전액무료],37.4862251281738,127.033706665039,314741,543113
[국비전액무료],37.4862251281738,127.033706665039,314741,543113
[국비전액무료],37.4855194091797,127.03515625,314868,543033
[국비전액무료],37.4862251281738,127.033706665039,314741,543113
COUPANG EATS,0,0,0,0
더조은컴퓨터아트학원,37.5412940979004,126.838172912598,297524,549420
쿠팡헬퍼-장/단기 알바-굿윌아이엔씨㈜,37.5206108093262,126.894264221191,302454,547065
더조은컴퓨터아트학원,37.4847602844238,126.930099487305,305576,543049
코워커,37.1827812194824,127.327621459961,340494,509212
소시(bar),,,,
한국폴리텍대학 서울강서캠퍼스,37.549243927002,126.842445373535,297912,550298
㈜에이치비컴퍼니,37.4750175476074,127.124084472656,322722,541791
애플트리(단기알바/정말 쉬운작업/초보환영,37.474365234375,127.122413635254,322574,541720
와이씨컴퍼니(직영7팀),36.2521781921387,127.623764038086,366383,405804
와이씨컴퍼니(직영7팀),36.2521781921387,127.623764038086,366383,405804
애플트리(실근무4.5시간/정말 쉬운작업/초보,37.474365234375,127.122413635254,322574,541720
스타에이젼시,37.5983352661133,127.091621398926,319983,555504
[급구] 초보/단순물류업무/오전/오후/투잡/,37.1399230957031,127.067443847656,317345,504651
애플트리(단기알바/정말 쉬운작업/초보환영,37.474365234375,127.122413635254,322574,541720
애플트리(단기알바/정말 쉬운작업/초보환영,37.6379356384277,127.311912536621,339468,559733
주식회사 주향물류,37.4741668701172,127.123878479004,322703,541696
주식회사 주향물류,37.4741668701172,127.123878479004,322703,541696
주식회사 주향물류,37.4741668701172,127.123878479004,322703,541696
주식회사 주향물류,37.4741668701172,127.123878479004,322703,541696
Bliss,,,,
평일/주말 365일 선택알바,37.4741668701172,127.123878479004,322703,541697
메이트트레이드,37.477611541748,127.124961853027,322802,542078
평일/주말 365일 선택알바,37.4741668701172,127.123878479004,322703,541697
㈜한국구조물안전연구원,37.4741668701172,127.123878479004,322703,541697
㈜정상제이엘에스,37.5608024597168,126.853775024414,298929,551568
